Team,Team Group,Stage,RACI,Note,Conflict,Conflict Note
Content / Writers,Production,Intake & Scoping,C,Joins the pre-kickoff strategy call to flag content approach before deliverables are scoped.,N,
Content / Writers,Production,Positioning & Narrative,I,,N,
Content / Writers,Production,Activation Planning,I,,N,
Content / Writers,Production,Brief to Centralized Teams,I,Receives the brief.,N,
Content / Writers,Production,Production,R,Drafts the actual content.,Y,"How much the PMM brief pins down vs. what's left to the writer's interpretation, and where Brand's messaging ownership ends."
Content / Writers,Production,Review & Approval,C,Incorporates review feedback.,N,
Content / Writers,Production,Launch Execution,I,,N,
Content / Writers,Production,Post-Launch,I,,N,
Creative,Production,Intake & Scoping,C,"Joins the pre-kickoff strategy call (per Jenny Louis, Director of Brand & Creative) to flag creative/asset approach before deliverables are scoped.",N,
Creative,Production,Positioning & Narrative,I,,N,
Creative,Production,Activation Planning,I,,N,
Creative,Production,Brief to Centralized Teams,I,,N,
Creative,Production,Production,R,Produces visual/design assets.,N,
Creative,Production,Review & Approval,C,Incorporates review feedback.,N,
Creative,Production,Launch Execution,I,,N,
Creative,Production,Post-Launch,I,,N,
SEO,Production,Intake & Scoping,I,,N,
SEO,Production,Positioning & Narrative,C,Flags how positioning affects keyword/content strategy.,N,
SEO,Production,Activation Planning,C,Weighs in on which pages are worth building for organic reach.,N,
SEO,Production,Brief to Centralized Teams,I,Receives the brief alongside other centralized teams.,N,
SEO,Production,Production,R,Owns on-page/technical SEO for new content and pages.,N,
SEO,Production,Review & Approval,C,Reviews for SEO best practice before publish.,N,
SEO,Production,Launch Execution,I,,N,
SEO,Production,Post-Launch,C,Monitors rankings and organic performance.,N,
Web,Production,Intake & Scoping,I,,N,
Web,Production,Positioning & Narrative,I,,N,
Web,Production,Activation Planning,C,Flags technical feasibility of activation ideas.,N,
Web,Production,Brief to Centralized Teams,I,,N,
Web,Production,Production,R,Builds and publishes pages.,N,
Web,Production,Review & Approval,C,Incorporates review feedback.,N,
Web,Production,Launch Execution,R,Owns the technical go-live.,N,
Web,Production,Post-Launch,C,Monitors site performance post-launch.,N,
Social,Amplification,Intake & Scoping,I,,N,
Social,Amplification,Positioning & Narrative,I,,N,
Social,Amplification,Activation Planning,C,Weighs in on channel fit.,N,
Social,Amplification,Brief to Centralized Teams,I,,N,
Social,Amplification,Production,R,Produces and schedules social content.,N,
Social,Amplification,Review & Approval,C,,N,
Social,Amplification,Launch Execution,R,Publishes on launch day.,N,
Social,Amplification,Post-Launch,C,Reports engagement.,N,
Community,Amplification,Intake & Scoping,I,,N,
Community,Amplification,Positioning & Narrative,I,,N,
Community,Amplification,Activation Planning,C,Weighs in on community fit.,N,
Community,Amplification,Brief to Centralized Teams,I,,N,
Community,Amplification,Production,R,Prepares community-facing posts/threads.,N,
Community,Amplification,Review & Approval,C,,N,
Community,Amplification,Launch Execution,R,Publishes to community channels.,N,
Community,Amplification,Post-Launch,C,Reports community response.,N,
PR / Comms,Amplification,Intake & Scoping,I,,N,
PR / Comms,Amplification,Positioning & Narrative,C,Weighs in on external narrative framing.,N,
PR / Comms,Amplification,Activation Planning,C,Weighs in on press/analyst angle.,N,
PR / Comms,Amplification,Brief to Centralized Teams,I,,N,
PR / Comms,Amplification,Production,R,Drafts press materials.,N,
PR / Comms,Amplification,Review & Approval,A,Approves press-specific messaging.,N,
PR / Comms,Amplification,Launch Execution,R,Manages media/analyst outreach.,N,
PR / Comms,Amplification,Post-Launch,C,Tracks coverage.,N,
Email / Lifecycle,Amplification,Intake & Scoping,I,,N,
Email / Lifecycle,Amplification,Positioning & Narrative,I,,N,
Email / Lifecycle,Amplification,Activation Planning,C,Weighs in on lifecycle touch points.,N,
Email / Lifecycle,Amplification,Brief to Centralized Teams,I,,N,
Email / Lifecycle,Amplification,Production,R,Builds nurture/announcement emails.,N,
Email / Lifecycle,Amplification,Review & Approval,C,,N,
Email / Lifecycle,Amplification,Launch Execution,R,Sends launch emails.,N,
Email / Lifecycle,Amplification,Post-Launch,C,Reports email performance.,N,
Paid Media,Amplification,Intake & Scoping,I,,N,
Paid Media,Amplification,Positioning & Narrative,I,,N,
Paid Media,Amplification,Activation Planning,C,Weighs in on paid feasibility and budget.,Y,"Potential overlap with Demand Gen's R here — confirm whether paid activation is a Demand Gen sub-decision or owned directly by Paid Media."
Paid Media,Amplification,Brief to Centralized Teams,I,,N,
Paid Media,Amplification,Production,R,Builds paid landing pages and ad creative/campaign setup.,N,
Paid Media,Amplification,Review & Approval,C,Incorporates review feedback.,N,
Paid Media,Amplification,Launch Execution,R,Runs paid campaigns at launch.,N,
Paid Media,Amplification,Post-Launch,R,Reports paid performance and ROI.,N,
Events,Amplification,Intake & Scoping,I,Only applies when the launch includes a webinar/event component.,N,
Events,Amplification,Positioning & Narrative,I,,N,
Events,Amplification,Activation Planning,C,Flags if an event/webinar fits the launch.,N,
Events,Amplification,Brief to Centralized Teams,I,,N,
Events,Amplification,Production,R,Builds event/webinar logistics and registration (via the Events App).,N,
Events,Amplification,Review & Approval,C,Incorporates review feedback.,N,
Events,Amplification,Launch Execution,R,Runs the event/webinar.,N,
Events,Amplification,Post-Launch,R,Reports attendance and leads.,N,
Customer Marketing,Amplification,Intake & Scoping,I,,N,
Customer Marketing,Amplification,Positioning & Narrative,I,,N,
Customer Marketing,Amplification,Activation Planning,C,"Flags existing-customer angle (upsell/cross-sell, advisory input).",N,
Customer Marketing,Amplification,Brief to Centralized Teams,I,,N,
Customer Marketing,Amplification,Production,R,"Produces customer-facing content: case studies, lifecycle emails, in-app announcements.",N,
Customer Marketing,Amplification,Review & Approval,C,Incorporates review feedback.,N,
Customer Marketing,Amplification,Launch Execution,R,"Executes customer-facing launch comms (in-product, customer email).",N,
Customer Marketing,Amplification,Post-Launch,R,Reports customer engagement and adoption.,N,
Partner Marketing,Amplification,Intake & Scoping,I,,N,
Partner Marketing,Amplification,Positioning & Narrative,C,Weighs in on how positioning lands with the partner ecosystem.,N,
Partner Marketing,Amplification,Activation Planning,?,Partner-routing/activation ownership is still open.,Y,Channel Leader role not yet filled — see Website Context Window brief open question on partner-routing ownership.
Partner Marketing,Amplification,Brief to Centralized Teams,I,,N,
Partner Marketing,Amplification,Production,R,Builds partner co-marketing and enablement assets.,N,
Partner Marketing,Amplification,Review & Approval,C,Incorporates review feedback.,N,
Partner Marketing,Amplification,Launch Execution,R,Executes partner enablement/co-marketing at launch.,N,
Partner Marketing,Amplification,Post-Launch,?,Partner-lead attribution and reporting ownership is unresolved.,Y,"Open question: Lynn Tan/RevOps vs. Partner Marketing — see Website Context Window brief."
Program Management,Orchestration,Intake & Scoping,A,Scopes the work and sets the tracking structure.,N,
Program Management,Orchestration,Positioning & Narrative,I,,N,
Program Management,Orchestration,Activation Planning,C,Facilitates the PMM/Demand Gen conversation.,N,
Program Management,Orchestration,Brief to Centralized Teams,R,Facilitates the brief handoff to centralized teams.,N,
Program Management,Orchestration,Production,C,"Tracks progress, unblocks dependencies.",N,
Program Management,Orchestration,Review & Approval,C,,N,
Program Management,Orchestration,Launch Execution,A,Coordinates the go-live across teams.,N,
Program Management,Orchestration,Post-Launch,R,Runs the retro and compiles results.,N,
